2021-03-20-20-37: epoch: 64 |loss -1.772245 | hm_loss 0.327406 | wh_loss 0.416224 | off_loss 0.039404 | id_loss 0.007955 | time 9.650000 | 
2021-03-20-20-47: epoch: 65 |loss -1.779537 | hm_loss 0.326227 | wh_loss 0.414599 | off_loss 0.039628 | id_loss 0.007861 | time 9.633333 | 
2021-03-20-20-57: epoch: 66 |loss -1.812393 | hm_loss 0.321975 | wh_loss 0.412687 | off_loss 0.039472 | id_loss 0.007117 | time 9.700000 | 
2021-03-20-21-06: epoch: 67 |loss -1.789875 | hm_loss 0.323854 | wh_loss 0.403495 | off_loss 0.039230 | id_loss 0.007856 | time 9.650000 | 
2021-03-20-21-16: epoch: 68 |loss -1.805604 | hm_loss 0.319136 | wh_loss 0.401069 | off_loss 0.039243 | id_loss 0.007624 | time 9.633333 | 
2021-03-20-21-26: epoch: 69 |loss -1.809389 | hm_loss 0.316851 | wh_loss 0.398899 | off_loss 0.039218 | id_loss 0.007655 | time 9.633333 | 
2021-03-20-21-35: epoch: 70 |loss -1.806870 | hm_loss 0.315587 | wh_loss 0.399645 | off_loss 0.039198 | id_loss 0.007815 | time 9.650000 | 
2021-03-20-21-45: epoch: 71 |loss -1.816057 | hm_loss 0.313599 | wh_loss 0.388621 | off_loss 0.038827 | id_loss 0.007702 | time 9.616667 | 
2021-03-20-21-55: epoch: 72 |loss -1.835809 | hm_loss 0.316530 | wh_loss 0.394635 | off_loss 0.038857 | id_loss 0.007023 | time 9.683333 | 
2021-03-20-22-04: epoch: 73 |loss -1.830783 | hm_loss 0.314273 | wh_loss 0.376383 | off_loss 0.038587 | id_loss 0.007352 | time 9.550000 | 
2021-03-20-22-14: epoch: 74 |loss -1.842638 | hm_loss 0.314247 | wh_loss 0.382185 | off_loss 0.038708 | id_loss 0.007000 | time 9.600000 | 
2021-03-20-22-24: epoch: 75 |loss -1.840974 | hm_loss 0.312824 | wh_loss 0.383837 | off_loss 0.038782 | id_loss 0.007106 | time 9.650000 | 
2021-03-20-22-33: epoch: 76 |loss -1.808818 | hm_loss 0.312183 | wh_loss 0.392128 | off_loss 0.038515 | id_loss 0.008054 | time 9.666667 | 
2021-03-20-22-43: epoch: 77 |loss -1.827385 | hm_loss 0.315202 | wh_loss 0.393950 | off_loss 0.038548 | id_loss 0.007400 | time 9.650000 | 
2021-03-20-22-53: epoch: 78 |loss -1.831347 | hm_loss 0.313475 | wh_loss 0.381486 | off_loss 0.038303 | id_loss 0.007400 | time 9.600000 | 
2021-03-20-23-02: epoch: 79 |loss -1.843861 | hm_loss 0.310551 | wh_loss 0.387542 | off_loss 0.038724 | id_loss 0.007104 | time 9.616667 | 
2021-03-20-23-12: epoch: 80 |loss -1.840169 | hm_loss 0.312458 | wh_loss 0.394675 | off_loss 0.038480 | id_loss 0.007126 | time 9.666667 | 
